Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Bought Condition,Price,Registered state
Toyota,Camry,2009.0,Gray,Nigerian Used,116785.0,2400.0,Imported,4725000.0,unknown
Toyota,Corolla,2004.0,Silver,Nigerian Used,299999.0,1800.0,Registered,3375000.0,unknown
Toyota,Camry,2007.0,Silver,Nigerian Used,235211.0,2400.0,Registered,3712500.0,unknown
Acura,TL,2009.0,Green,Nigerian Used,318644.0,3500.0,Registered,3375000.0,delta
Dodge,Avenger,2009.0,Black,Nigerian Used,135193.0,2400.0,Imported,2025000.0,lagos
Toyota,Avalon,2013.0,Gray,Foreign Used,126848.0,3500.0,Imported,8437500.0,unknown
Toyota,Camry,2004.0,Silver,Nigerian Used,280710.0,2400.0,Imported,2070000.0,unknown
Lexus,ES,2008.0,Gray,Nigerian Used,260534.0,3500.0,Imported,4275000.0,lagos
Hyundai,Sonata,2009.0,Silver,Nigerian Used,149488.0,2000.0,Registered,1614375.0,lagos
Ford,F-150,2014.0,White,Foreign Used,303321.0,3400.0,Imported,15750000.0,unknown
Honda,CR-V,2006.0,Gray,Nigerian Used,186581.0,2400.0,Imported,1867500.0,unknown
Mercedes-Benz,M Class,2012.0,Gray,Nigerian Used,23646.0,3500.0,Registered,13500000.0,abuja
Toyota,Venza,2011.0,White,Foreign Used,293997.0,2700.0,Imported,11812500.0,unknown
Toyota,Avalon,2014.0,White,Nigerian Used,229047.0,3500.0,Imported,15750000.0,abuja
Toyota,Corolla,2003.0,Green,Nigerian Used,132773.0,1800.0,Registered,3375000.0,unknown
Honda,Accord,2003.0,Black,Nigerian Used,291071.0,3000.0,Imported,1125000.0,unknown
Honda,Accord,2005.0,Silver,Nigerian Used,193851.0,3000.0,Imported,1350000.0,lagos
Toyota,Corolla,2006.0,Silver,Nigerian Used,300000.0,1800.0,Imported,2656780.0,lagos
Toyota,Land Cruiser Prado,2010.0,Black,Nigerian Used,261523.0,3000.0,Imported,11250000.0,unknown
Toyota,Camry,2009.0,Gray,Nigerian Used,342161.0,3500.0,Imported,3394687.0,lagos
Mercedes-Benz,GLC-Class,2016.0,White,Foreign Used,132601.0,2000.0,Imported,22837500.0,unknown
Mercedes-Benz,M Class,2002.0,Gold,Nigerian Used,266833.0,4000.0,Registered,2025000.0,kaduna
Toyota,Camry,2007.0,Green,Nigerian Used,176724.0,2400.0,Registered,3150000.0,unknown
Toyota,Camry,2016.0,Silver,Foreign Used,227762.0,2500.0,Imported,11362500.0,unknown
Honda,CR-V,2005.0,Silver,Nigerian Used,248321.0,2400.0,Registered,1620000.0,unknown
Subaru,Impreza,2012.0,Green,Nigerian Used,159871.0,2000.0,Brand new,1687500.0,lagos
Honda,CR-V,2004.0,Black,Nigerian Used,193736.0,2000.0,Imported,1687500.0,oyo
Kia,Sorento,2008.0,White,Nigerian Used,155574.0,3300.0,Registered,2812500.0,lagos
Mitsubishi,Endeavor,2005.0,Gray,Nigerian Used,166795.0,3800.0,Imported,3937500.0,lagos
Toyota,Camry,2008.0,Gray,Nigerian Used,352089.0,2400.0,Imported,3346875.0,lagos
Hyundai,Accent,2003.0,Gray,Nigerian Used,268824.0,1600.0,Registered,1800000.0,lagos
